Team ,Position on team,Country of Citizenship,Given Name,Family Name ,Date of Birth,Date of Death,Sex,Place of birth,Place of death,,,Tîm,Safle ar y tîm,Gwlad Dinasyddiaeth,Enw a Roddir,Enw Teulu ,Dyddiad Geni,Dyddiad Marwolaeth,Rhyw,Man Geni,Man Marwolaeth
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,David,Daniel,1871-01-01,30/04/1948,male,Llanelli,Llanelli,,,Tîm undeb rygbi cenedlaethol Cymru,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Daniel,1871-01-01,30/04/1948,gwryw,Llanelli,Llanelli
Neath RFC,,Wales,David,Evans,19/08/1988,,male,Swansea,,,,Clwb Rygbi Castell-nedd,,Cymru,David,Evans,19/08/1988,,gwryw,Abertawe,
Neath RFC,,United Kingdom,David,Evans,19/08/1988,,male,Swansea,,,,Clwb Rygbi Castell-nedd,,Y Deyrnas Unedig,David,Evans,19/08/1988,,gwryw,Abertawe,
Glamorgan Police RFC,,Wales,David,Davies,1877-10-27,30/09/1944,male,Tonna,,,,Clwb Rygbi Heddlu Morgannwg,,Cymru,David,Davies,1877-10-27,30/09/1944,gwryw,Tonna,
Neath RFC,,Wales,David,Davies,1877-10-27,30/09/1944,male,Tonna,,,,Clwb Rygbi Castell-nedd,,Cymru,David,Davies,1877-10-27,30/09/1944,gwryw,Tonna,
Wales national rugby union team,,Wales,David,Davies,1877-10-27,30/09/1944,male,Tonna,,,,Tîm undeb rygbi cenedlaethol Cymru,,Cymru,David,Davies,1877-10-27,30/09/1944,gwryw,Tonna,
Glamorgan Police RFC,,United Kingdom,David,Davies,1877-10-27,30/09/1944,male,Tonna,,,,Clwb Rygbi Heddlu Morgannwg,,Y Deyrnas Unedig,David,Davies,1877-10-27,30/09/1944,gwryw,Tonna,
Neath RFC,,United Kingdom,David,Davies,1877-10-27,30/09/1944,male,Tonna,,,,Clwb Rygbi Castell-nedd,,Y Deyrnas Unedig,David,Davies,1877-10-27,30/09/1944,gwryw,Tonna,
Wales national rugby union team,,United Kingdom,David,Davies,1877-10-27,30/09/1944,male,Tonna,,,,Tîm undeb rygbi cenedlaethol Cymru,,Y Deyrnas Unedig,David,Davies,1877-10-27,30/09/1944,gwryw,Tonna,
Glamorgan Police RFC,,United Kingdom of Great Britain and Ireland,David,Davies,1877-10-27,30/09/1944,male,Tonna,,,,Clwb Rygbi Heddlu Morgannwg,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Davies,1877-10-27,30/09/1944,gwryw,Tonna,
Neath RFC,,United Kingdom of Great Britain and Ireland,David,Davies,1877-10-27,30/09/1944,male,Tonna,,,,Clwb Rygbi Castell-nedd,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Davies,1877-10-27,30/09/1944,gwryw,Tonna,
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,David,Davies,1877-10-27,30/09/1944,male,Tonna,,,,Tîm undeb rygbi cenedlaethol Cymru,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Davies,1877-10-27,30/09/1944,gwryw,Tonna,
Broughton Rangers,,Wales,David,James,1866-01-01,01/01/1929,male,Swansea,Bon-y-maen,,,Broughton Rangers,,Cymru,David,James,1866-01-01,01/01/1929,gwryw,Abertawe,Bon-y-maen
Swansea RFC,,Wales,David,James,1866-01-01,01/01/1929,male,Swansea,Bon-y-maen,,,Clwb Rygbi Abertawe ,,Cymru,David,James,1866-01-01,01/01/1929,gwryw,Abertawe,Bon-y-maen
Wales national rugby union team,,Wales,David,James,1866-01-01,01/01/1929,male,Swansea,Bon-y-maen,,,Tîm undeb rygbi cenedlaethol Cymru,,Cymru,David,James,1866-01-01,01/01/1929,gwryw,Abertawe,Bon-y-maen
Broughton Rangers,,United Kingdom,David,James,1866-01-01,01/01/1929,male,Swansea,Bon-y-maen,,,Broughton Rangers,,Y Deyrnas Unedig,David,James,1866-01-01,01/01/1929,gwryw,Abertawe,Bon-y-maen
Swansea RFC,,United Kingdom,David,James,1866-01-01,01/01/1929,male,Swansea,Bon-y-maen,,,Clwb Rygbi Abertawe ,,Y Deyrnas Unedig,David,James,1866-01-01,01/01/1929,gwryw,Abertawe,Bon-y-maen
Wales national rugby union team,,United Kingdom,David,James,1866-01-01,01/01/1929,male,Swansea,Bon-y-maen,,,Tîm undeb rygbi cenedlaethol Cymru,,Y Deyrnas Unedig,David,James,1866-01-01,01/01/1929,gwryw,Abertawe,Bon-y-maen
Broughton Rangers,,United Kingdom of Great Britain and Ireland,David,James,1866-01-01,01/01/1929,male,Swansea,Bon-y-maen,,,Broughton Rangers,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,James,1866-01-01,01/01/1929,gwryw,Abertawe,Bon-y-maen
Swansea RFC,,United Kingdom of Great Britain and Ireland,David,James,1866-01-01,01/01/1929,male,Swansea,Bon-y-maen,,,Clwb Rygbi Abertawe ,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,James,1866-01-01,01/01/1929,gwryw,Abertawe,Bon-y-maen
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,David,James,1866-01-01,01/01/1929,male,Swansea,Bon-y-maen,,,Tîm undeb rygbi cenedlaethol Cymru,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,James,1866-01-01,01/01/1929,gwryw,Abertawe,Bon-y-maen
Treorchy RFC,hooker,Wales,David,James,07/10/1906,01/01/1981,male,Treorchy,Rhondda,,,Clwb Rygbi Treorci,bachwr,Cymru,David,James,07/10/1906,01/01/1981,gwryw,Treorci,Rhondda
Leeds Rhinos,hooker,Wales,David,James,07/10/1906,01/01/1981,male,Treorchy,Rhondda,,,Leeds Rhinos,bachwr,Cymru,David,James,07/10/1906,01/01/1981,gwryw,Treorci,Rhondda
Wales national rugby union team,hooker,Wales,David,James,07/10/1906,01/01/1981,male,Treorchy,Rhondda,,,Tîm undeb rygbi cenedlaethol Cymru,bachwr,Cymru,David,James,07/10/1906,01/01/1981,gwryw,Treorci,Rhondda
Great Britain national rugby league team,,Wales,David,Jenkins,23/02/1914,01/01/1979,male,Wales,,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,,Cymru,David,Jenkins,23/02/1914,01/01/1979,gwryw,Cymru,
Wales national rugby league team,,Wales,David,Jenkins,23/02/1914,01/01/1979,male,Wales,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,David,Jenkins,23/02/1914,01/01/1979,gwryw,Cymru,
Leeds Rhinos,,Wales,David,Jenkins,23/02/1914,01/01/1979,male,Wales,,,,Leeds Rhinos,,Cymru,David,Jenkins,23/02/1914,01/01/1979,gwryw,Cymru,
Cardiff RFC,,Wales,David,Jenkins,23/02/1914,01/01/1979,male,Wales,,,,Clwb Rygbi Caerdydd ,,Cymru,David,Jenkins,23/02/1914,01/01/1979,gwryw,Cymru,
Great Britain national rugby league team,,United Kingdom,David,Jenkins,23/02/1914,01/01/1979,male,Wales,,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,,Y Deyrnas Unedig,David,Jenkins,23/02/1914,01/01/1979,gwryw,Cymru,
Wales national rugby league team,,United Kingdom,David,Jenkins,23/02/1914,01/01/1979,male,Wales,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Y Deyrnas Unedig,David,Jenkins,23/02/1914,01/01/1979,gwryw,Cymru,
Leeds Rhinos,,United Kingdom,David,Jenkins,23/02/1914,01/01/1979,male,Wales,,,,Leeds Rhinos,,Y Deyrnas Unedig,David,Jenkins,23/02/1914,01/01/1979,gwryw,Cymru,
Cardiff RFC,,United Kingdom,David,Jenkins,23/02/1914,01/01/1979,male,Wales,,,,Clwb Rygbi Caerdydd ,,Y Deyrnas Unedig,David,Jenkins,23/02/1914,01/01/1979,gwryw,Cymru,
Great Britain national rugby league team,,United Kingdom of Great Britain and Ireland,David,Jenkins,23/02/1914,01/01/1979,male,Wales,,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Jenkins,23/02/1914,01/01/1979,gwryw,Cymru,
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,David,Jenkins,23/02/1914,01/01/1979,male,Wales,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Jenkins,23/02/1914,01/01/1979,gwryw,Cymru,
Leeds Rhinos,,United Kingdom of Great Britain and Ireland,David,Jenkins,23/02/1914,01/01/1979,male,Wales,,,,Leeds Rhinos,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Jenkins,23/02/1914,01/01/1979,gwryw,Cymru,
Cardiff RFC,,United Kingdom of Great Britain and Ireland,David,Jenkins,23/02/1914,01/01/1979,male,Wales,,,,Clwb Rygbi Caerdydd ,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Jenkins,23/02/1914,01/01/1979,gwryw,Cymru,
Great Britain national rugby league team,prop,Wales,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,prop,Cymru,David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Neath RFC,prop,Wales,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Clwb Rygbi Castell-nedd,prop,Cymru,David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Leeds Rhinos,prop,Wales,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Leeds Rhinos,prop,Cymru,David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Swansea RFC,prop,Wales,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Clwb Rygbi Abertawe ,prop,Cymru,David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Wales national rugby union team,prop,Wales,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Tîm undeb rygbi cenedlaethol Cymru,prop,Cymru,David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Great Britain national rugby league team,prop,United Kingdom,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,prop,Y Deyrnas Unedig,David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Neath RFC,prop,United Kingdom,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Clwb Rygbi Castell-nedd,prop,Y Deyrnas Unedig,David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Leeds Rhinos,prop,United Kingdom,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Leeds Rhinos,prop,Y Deyrnas Unedig,David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Swansea RFC,prop,United Kingdom,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Clwb Rygbi Abertawe ,prop,Y Deyrnas Unedig,David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Wales national rugby union team,prop,United Kingdom,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Tîm undeb rygbi cenedlaethol Cymru,prop,Y Deyrnas Unedig,David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Great Britain national rugby league team,prop,United Kingdom of Great Britain and Ireland,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Neath RFC,prop,United Kingdom of Great Britain and Ireland,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Clwb Rygbi Castell-nedd,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Leeds Rhinos,prop,United Kingdom of Great Britain and Ireland,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Leeds Rhinos,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Swansea RFC,prop,United Kingdom of Great Britain and Ireland,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Clwb Rygbi Abertawe ,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Wales national rugby union team,prop,United Kingdom of Great Britain and Ireland,David,Jenkins,12/04/1904,13/08/1951,male,Resolven,Whitley Bay,,,Tîm undeb rygbi cenedlaethol Cymru,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,Jenkins,12/04/1904,13/08/1951,gwryw,Resolfen,Bae Whitley
Loughborough Students RUFC,flanker,Wales,David,,01/03/1934,12/11/2003,male,Crumlin,,,,Clwb Pêl-droed Rygbi Undeb Myfyrwyr Loughborough,blaenasgellwr,Cymru,David,,01/03/1934,12/11/2003,gwryw,Crymlyn,
Wales national rugby union team,flanker,Wales,David,,01/03/1934,12/11/2003,male,Crumlin,,,,Tîm undeb rygbi cenedlaethol Cymru,blaenasgellwr,Cymru,David,,01/03/1934,12/11/2003,gwryw,Crymlyn,
Loughborough Students RUFC,flanker,United Kingdom,David,,01/03/1934,12/11/2003,male,Crumlin,,,,Clwb Pêl-droed Rygbi Undeb Myfyrwyr Loughborough,blaenasgellwr,Y Deyrnas Unedig,David,,01/03/1934,12/11/2003,gwryw,Crymlyn,
Wales national rugby union team,flanker,United Kingdom,David,,01/03/1934,12/11/2003,male,Crumlin,,,,Tîm undeb rygbi cenedlaethol Cymru,blaenasgellwr,Y Deyrnas Unedig,David,,01/03/1934,12/11/2003,gwryw,Crymlyn,
Glynneath RFC,,Wales,David,,21/04/1911,24/05/1941,male,Glynneath,Denmark Strait,,,Clwb Rygbi Glyn-nedd,,Cymru,David,,21/04/1911,24/05/1941,gwryw,Glyn-nedd,Denmarc Strait
Wales national rugby league team,,Wales,David,,21/04/1911,24/05/1941,male,Glynneath,Denmark Strait,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,David,,21/04/1911,24/05/1941,gwryw,Glyn-nedd,Denmarc Strait
Huddersfield Giants,,Wales,David,,21/04/1911,24/05/1941,male,Glynneath,Denmark Strait,,,Huddersfield Giants,,Cymru,David,,21/04/1911,24/05/1941,gwryw,Glyn-nedd,Denmarc Strait
Neath RFC,,Wales,David,,21/04/1911,24/05/1941,male,Glynneath,Denmark Strait,,,Clwb Rygbi Castell-nedd,,Cymru,David,,21/04/1911,24/05/1941,gwryw,Glyn-nedd,Denmarc Strait
Glynneath RFC,,United Kingdom,David,,21/04/1911,24/05/1941,male,Glynneath,Denmark Strait,,,Clwb Rygbi Glyn-nedd,,Y Deyrnas Unedig,David,,21/04/1911,24/05/1941,gwryw,Glyn-nedd,Denmarc Strait
Wales national rugby league team,,United Kingdom,David,,21/04/1911,24/05/1941,male,Glynneath,Denmark Strait,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Y Deyrnas Unedig,David,,21/04/1911,24/05/1941,gwryw,Glyn-nedd,Denmarc Strait
Huddersfield Giants,,United Kingdom,David,,21/04/1911,24/05/1941,male,Glynneath,Denmark Strait,,,Huddersfield Giants,,Y Deyrnas Unedig,David,,21/04/1911,24/05/1941,gwryw,Glyn-nedd,Denmarc Strait
Neath RFC,,United Kingdom,David,,21/04/1911,24/05/1941,male,Glynneath,Denmark Strait,,,Clwb Rygbi Castell-nedd,,Y Deyrnas Unedig,David,,21/04/1911,24/05/1941,gwryw,Glyn-nedd,Denmarc Strait
Glynneath RFC,,United Kingdom of Great Britain and Ireland,David,,21/04/1911,24/05/1941,male,Glynneath,Denmark Strait,,,Clwb Rygbi Glyn-nedd,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,,21/04/1911,24/05/1941,gwryw,Glyn-nedd,Denmarc Strait
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,David,,21/04/1911,24/05/1941,male,Glynneath,Denmark Strait,,,Tîm rygbi cynghrair cenedlaethol Cymru,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,,21/04/1911,24/05/1941,gwryw,Glyn-nedd,Denmarc Strait
Huddersfield Giants,,United Kingdom of Great Britain and Ireland,David,,21/04/1911,24/05/1941,male,Glynneath,Denmark Strait,,,Huddersfield Giants,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,,21/04/1911,24/05/1941,gwryw,Glyn-nedd,Denmarc Strait
Neath RFC,,United Kingdom of Great Britain and Ireland,David,,21/04/1911,24/05/1941,male,Glynneath,Denmark Strait,,,Clwb Rygbi Castell-nedd,,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",David,,21/04/1911,24/05/1941,gwryw,Glyn-nedd,Denmarc Strait
Treorchy RFC,lock,Wales,David,,22/05/1901,22/04/1968,male,Pyle,Bridgend,,,Clwb Rygbi Treorci,clo,Cymru,David,,22/05/1901,22/04/1968,gwryw,Pîl,Penybont
Glamorgan Police RFC,lock,Wales,David,,22/05/1901,22/04/1968,male,Pyle,Bridgend,,,Clwb Rygbi Heddlu Morgannwg,clo,Cymru,David,,22/05/1901,22/04/1968,gwryw,Pîl,Penybont
Wales national rugby league team,lock,Wales,David,,22/05/1901,22/04/1968,male,Pyle,Bridgend,,,Tîm rygbi cynghrair cenedlaethol Cymru,clo,Cymru,David,,22/05/1901,22/04/1968,gwryw,Pîl,Penybont
Hunslet Hawks,lock,Wales,David,,22/05/1901,22/04/1968,male,Pyle,Bridgend,,,Hunslet Hawks,clo,Cymru,David,,22/05/1901,22/04/1968,gwryw,Pîl,Penybont
Leeds Rhinos,lock,Wales,David,,22/05/1901,22/04/1968,male,Pyle,Bridgend,,,Leeds Rhinos,clo,Cymru,David,,22/05/1901,22/04/1968,gwryw,Pîl,Penybont
Wales national rugby union team,lock,Wales,David,,22/05/1901,22/04/1968,male,Pyle,Bridgend,,,Tîm undeb rygbi cenedlaethol Cymru,clo,Cymru,David,,22/05/1901,22/04/1968,gwryw,Pîl,Penybont
Treorchy RFC,lock,United Kingdom,David,,22/05/1901,22/04/1968,male,Pyle,Bridgend,,,Clwb Rygbi Treorci,clo,Y Deyrnas Unedig,David,,22/05/1901,22/04/1968,gwryw,Pîl,Penybont
Glamorgan Police RFC,lock,United Kingdom,David,,22/05/1901,22/04/1968,male,Pyle,Bridgend,,,Clwb Rygbi Heddlu Morgannwg,clo,Y Deyrnas Unedig,David,,22/05/1901,22/04/1968,gwryw,Pîl,Penybont
Wales national rugby league team,lock,United Kingdom,David,,22/05/1901,22/04/1968,male,Pyle,Bridgend,,,Tîm rygbi cynghrair cenedlaethol Cymru,clo,Y Deyrnas Unedig,David,,22/05/1901,22/04/1968,gwryw,Pîl,Penybont
Hunslet Hawks,lock,United Kingdom,David,,22/05/1901,22/04/1968,male,Pyle,Bridgend,,,Hunslet Hawks,clo,Y Deyrnas Unedig,David,,22/05/1901,22/04/1968,gwryw,Pîl,Penybont
Leeds Rhinos,lock,United Kingdom,David,,22/05/1901,22/04/1968,male,Pyle,Bridgend,,,Leeds Rhinos,clo,Y Deyrnas Unedig,David,,22/05/1901,22/04/1968,gwryw,Pîl,Penybont
Wales national rugby union team,lock,Wales,Stuart,Gallacher,22/05/1946,19/10/2014,male,Llanelli,,,,Tîm undeb rygbi cenedlaethol Cymru,clo,Cymru,Stuart,Gallacher,22/05/1946,19/10/2014,gwryw,Llanelli,
Barbarians,lock,Wales,Stuart,Gallacher,22/05/1946,19/10/2014,male,Llanelli,,,,Barbariaid,clo,Cymru,Stuart,Gallacher,22/05/1946,19/10/2014,gwryw,Llanelli,
Wales national rugby league team,lock,United Kingdom,Stuart,Gallacher,22/05/1946,19/10/2014,male,Llanelli,,,,Tîm rygbi cynghrair cenedlaethol Cymru,clo,Y Deyrnas Unedig,Stuart,Gallacher,22/05/1946,19/10/2014,gwryw,Llanelli,
Keighley Cougars,lock,United Kingdom,Stuart,Gallacher,22/05/1946,19/10/2014,male,Llanelli,,,,Keighley Cougars,clo,Y Deyrnas Unedig,Stuart,Gallacher,22/05/1946,19/10/2014,gwryw,Llanelli,
Bradford Bulls,lock,United Kingdom,Stuart,Gallacher,22/05/1946,19/10/2014,male,Llanelli,,,,Bradford Bulls,clo,Y Deyrnas Unedig,Stuart,Gallacher,22/05/1946,19/10/2014,gwryw,Llanelli,
Llanelli RFC,lock,United Kingdom,Stuart,Gallacher,22/05/1946,19/10/2014,male,Llanelli,,,,Clwb Rygbi Llanelli,clo,Y Deyrnas Unedig,Stuart,Gallacher,22/05/1946,19/10/2014,gwryw,Llanelli,
Wales national rugby union team,lock,United Kingdom,Stuart,Gallacher,22/05/1946,19/10/2014,male,Llanelli,,,,Tîm undeb rygbi cenedlaethol Cymru,clo,Y Deyrnas Unedig,Stuart,Gallacher,22/05/1946,19/10/2014,gwryw,Llanelli,
Barbarians,lock,United Kingdom,Stuart,Gallacher,22/05/1946,19/10/2014,male,Llanelli,,,,Barbariaid,clo,Y Deyrnas Unedig,Stuart,Gallacher,22/05/1946,19/10/2014,gwryw,Llanelli,
Salford Red Devils,winger,Wales,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Salford Red Devils,asgellwr,Cymru,Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Wales national rugby league team,winger,Wales,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Tîm rygbi cynghrair cenedlaethol Cymru,asgellwr,Cymru,Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Wales national rugby union team,winger,Wales,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Tîm undeb rygbi cenedlaethol Cymru,asgellwr,Cymru,Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Barbarians,winger,Wales,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Barbariaid,asgellwr,Cymru,Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Aberavon RFC,winger,Wales,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Clwb Rygbi Aberafon,asgellwr,Cymru,Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Salford Red Devils,winger,United Kingdom,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Salford Red Devils,asgellwr,Y Deyrnas Unedig,Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Wales national rugby league team,winger,United Kingdom,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Tîm rygbi cynghrair cenedlaethol Cymru,asgellwr,Y Deyrnas Unedig,Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Wales national rugby union team,winger,United Kingdom,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Tîm undeb rygbi cenedlaethol Cymru,asgellwr,Y Deyrnas Unedig,Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Barbarians,winger,United Kingdom,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Barbariaid,asgellwr,Y Deyrnas Unedig,Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Aberavon RFC,winger,United Kingdom,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Clwb Rygbi Aberafon,asgellwr,Y Deyrnas Unedig,Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Salford Red Devils,winger,United Kingdom of Great Britain and Ireland,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Salford Red Devils,asgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Wales national rugby league team,winger,United Kingdom of Great Britain and Ireland,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Tîm rygbi cynghrair cenedlaethol Cymru,asgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Wales national rugby union team,winger,United Kingdom of Great Britain and Ireland,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Tîm undeb rygbi cenedlaethol Cymru,asgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Barbarians,winger,United Kingdom of Great Britain and Ireland,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Barbariaid,asgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Aberavon RFC,winger,United Kingdom of Great Britain and Ireland,Sydney,Williams,17/04/1918,28/08/1976,male,Aberavon,Neath,,,Clwb Rygbi Aberafon,asgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Sydney,Williams,17/04/1918,28/08/1976,gwryw,Aberavon,Castell - nedd
Wales national rugby union team (sevens),fullback,Wales,,,20/04/1980,,male,Pembroke Dock,,,,Tîm rygbi undeb cenedlaethol Cymru (saith bob ochr),cefnwr,Cymru,,,20/04/1980,,gwryw,Doc Penfro,
Birmingham & Solihull R.F.C.,fullback,Wales,,,20/04/1980,,male,Pembroke Dock,,,,Clwb Rygbi Birmingham & Solihull ,cefnwr,Cymru,,,20/04/1980,,gwryw,Doc Penfro,
Ospreys,fullback,Wales,,,20/04/1980,,male,Pembroke Dock,,,,y Gweilch,cefnwr,Cymru,,,20/04/1980,,gwryw,Doc Penfro,
Wales national rugby union team,fullback,Wales,,,20/04/1980,,male,Pembroke Dock,,,,Tîm undeb rygbi cenedlaethol Cymru,cefnwr,Cymru,,,20/04/1980,,gwryw,Doc Penfro,
Barbarians,fullback,Wales,,,20/04/1980,,male,Pembroke Dock,,,,Barbariaid,cefnwr,Cymru,,,20/04/1980,,gwryw,Doc Penfro,
Scarlets,fullback,Wales,,,20/04/1980,,male,Pembroke Dock,,,,Y Sgarlets,cefnwr,Cymru,,,20/04/1980,,gwryw,Doc Penfro,
Dragons,fullback,Wales,,,20/04/1980,,male,Pembroke Dock,,,,Y Dreigiau,cefnwr,Cymru,,,20/04/1980,,gwryw,Doc Penfro,
Wales national rugby union team (sevens),fullback,United Kingdom,,,20/04/1980,,male,Pembroke Dock,,,,Tîm rygbi undeb cenedlaethol Cymru (saith bob ochr),cefnwr,Y Deyrnas Unedig,,,20/04/1980,,gwryw,Doc Penfro,
Birmingham & Solihull R.F.C.,fullback,United Kingdom,,,20/04/1980,,male,Pembroke Dock,,,,Clwb Rygbi Birmingham & Solihull ,cefnwr,Y Deyrnas Unedig,,,20/04/1980,,gwryw,Doc Penfro,
Ospreys,fullback,United Kingdom,,,20/04/1980,,male,Pembroke Dock,,,,y Gweilch,cefnwr,Y Deyrnas Unedig,,,20/04/1980,,gwryw,Doc Penfro,
Wales national rugby union team,fullback,United Kingdom,,,20/04/1980,,male,Pembroke Dock,,,,Tîm undeb rygbi cenedlaethol Cymru,cefnwr,Y Deyrnas Unedig,,,20/04/1980,,gwryw,Doc Penfro,
