Team ,Position on team,Country of Citizenship,Given Name,Family Name ,Date of Birth,Date of Death,Sex,Place of birth,Place of death
Ospreys,,Wales,Tom,Isaacs,1987-02-18,,male,Cardiff,
Dragons,,Wales,Tom,Isaacs,1987-02-18,,male,Cardiff,
Great Britain national rugby league team,,Wales,Benjamin,,1887-03-10,1967-11-24,male,Bridgend,Huddersfield
Wales national rugby league team,,Wales,Benjamin,,1887-03-10,1967-11-24,male,Bridgend,Huddersfield
Great Britain national rugby league team,,United Kingdom,Benjamin,,1887-03-10,1967-11-24,male,Bridgend,Huddersfield
Wales national rugby league team,,United Kingdom,Benjamin,,1887-03-10,1967-11-24,male,Bridgend,Huddersfield
Great Britain national rugby league team,,United Kingdom of Great Britain and Ireland,Benjamin,,1887-03-10,1967-11-24,male,Bridgend,Huddersfield
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,Benjamin,,1887-03-10,1967-11-24,male,Bridgend,Huddersfield
Great Britain national rugby league team,,Wales,Bert,Jenkins,1885-01-01,1943-02-04,male,Troed-y-rhiw,Merthyr Tydfil
Wales national rugby league team,,Wales,Bert,Jenkins,1885-01-01,1943-02-04,male,Troed-y-rhiw,Merthyr Tydfil
Wigan Warriors,,Wales,Bert,Jenkins,1885-01-01,1943-02-04,male,Troed-y-rhiw,Merthyr Tydfil
Great Britain national rugby league team,,United Kingdom,Bert,Jenkins,1885-01-01,1943-02-04,male,Troed-y-rhiw,Merthyr Tydfil
Wales national rugby league team,,United Kingdom,Bert,Jenkins,1885-01-01,1943-02-04,male,Troed-y-rhiw,Merthyr Tydfil
Wigan Warriors,,United Kingdom,Bert,Jenkins,1885-01-01,1943-02-04,male,Troed-y-rhiw,Merthyr Tydfil
Great Britain national rugby league team,,United Kingdom of Great Britain and Ireland,Bert,Jenkins,1885-01-01,1943-02-04,male,Troed-y-rhiw,Merthyr Tydfil
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,Bert,Jenkins,1885-01-01,1943-02-04,male,Troed-y-rhiw,Merthyr Tydfil
Wigan Warriors,,United Kingdom of Great Britain and Ireland,Bert,Jenkins,1885-01-01,1943-02-04,male,Troed-y-rhiw,Merthyr Tydfil
Llanelli RFC,scrum-half,Wales,Bert,Jones,1906-05-01,1982-07-31,male,Llanelli,Pontyberem
St Helens RLFC,scrum-half,Wales,Bert,Jones,1906-05-01,1982-07-31,male,Llanelli,Pontyberem
Wales national rugby union team,scrum-half,Wales,Bert,Jones,1906-05-01,1982-07-31,male,Llanelli,Pontyberem
Llanelli RFC,scrum-half,United Kingdom,Bert,Jones,1906-05-01,1982-07-31,male,Llanelli,Pontyberem
St Helens RLFC,scrum-half,United Kingdom,Bert,Jones,1906-05-01,1982-07-31,male,Llanelli,Pontyberem
Wales national rugby union team,scrum-half,United Kingdom,Bert,Jones,1906-05-01,1982-07-31,male,Llanelli,Pontyberem
Llanelli RFC,scrum-half,United Kingdom of Great Britain and Ireland,Bert,Jones,1906-05-01,1982-07-31,male,Llanelli,Pontyberem
St Helens RLFC,scrum-half,United Kingdom of Great Britain and Ireland,Bert,Jones,1906-05-01,1982-07-31,male,Llanelli,Pontyberem
Wales national rugby union team,scrum-half,United Kingdom of Great Britain and Ireland,Bert,Jones,1906-05-01,1982-07-31,male,Llanelli,Pontyberem
Pill Harriers RFC,fullback,Wales,Bill,Everson,1906-03-15,1966-04-26,male,Rudry,Newport
Wales national rugby union team,fullback,Wales,Bill,Everson,1906-03-15,1966-04-26,male,Rudry,Newport
Pill Harriers RFC,fullback,United Kingdom,Bill,Everson,1906-03-15,1966-04-26,male,Rudry,Newport
Wales national rugby union team,fullback,United Kingdom,Bill,Everson,1906-03-15,1966-04-26,male,Rudry,Newport
Pill Harriers RFC,fullback,United Kingdom of Great Britain and Ireland,Bill,Everson,1906-03-15,1966-04-26,male,Rudry,Newport
Wales national rugby union team,fullback,United Kingdom of Great Britain and Ireland,Bill,Everson,1906-03-15,1966-04-26,male,Rudry,Newport
Wales national rugby union team,winger,Wales,Bill,,1914-07-01,2002-03-03,male,Newport,
Gloucester Rugby,winger,Wales,Bill,,1914-07-01,2002-03-03,male,Newport,
Wales national rugby union team,winger,United Kingdom,Bill,,1914-07-01,2002-03-03,male,Newport,
Gloucester Rugby,winger,United Kingdom,Bill,,1914-07-01,2002-03-03,male,Newport,
Wales national rugby union team,winger,United Kingdom of Great Britain and Ireland,Bill,,1914-07-01,2002-03-03,male,Newport,
Gloucester Rugby,winger,United Kingdom of Great Britain and Ireland,Bill,,1914-07-01,2002-03-03,male,Newport,
Cardiff RFC,,Wales,Billy,Douglas,1863-07-02,1943-09-24,male,Barry,
Wales national rugby union team,,Wales,Billy,Douglas,1863-07-02,1943-09-24,male,Barry,
Cardiff RFC,,United Kingdom,Billy,Douglas,1863-07-02,1943-09-24,male,Barry,
Wales national rugby union team,,United Kingdom,Billy,Douglas,1863-07-02,1943-09-24,male,Barry,
Cardiff RFC,,United Kingdom of Great Britain and Ireland,Billy,Douglas,1863-07-02,1943-09-24,male,Barry,
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,Billy,Douglas,1863-07-02,1943-09-24,male,Barry,
Wales national rugby union team,lock,Wales,Billy,,1941-01-24,2019-04-03,male,Port Talbot,
Barbarians,lock,Wales,Billy,,1941-01-24,2019-04-03,male,Port Talbot,
Aberavon RFC,lock,Wales,Billy,,1941-01-24,2019-04-03,male,Port Talbot,
Wales national rugby union team,lock,United Kingdom,Billy,,1941-01-24,2019-04-03,male,Port Talbot,
Barbarians,lock,United Kingdom,Billy,,1941-01-24,2019-04-03,male,Port Talbot,
Aberavon RFC,lock,United Kingdom,Billy,,1941-01-24,2019-04-03,male,Port Talbot,
Great Britain national rugby league team,,Wales,Billy,Watkins,1910-01-01,1972-01-01,male,Wales,
Salford Red Devils,,Wales,Billy,Watkins,1910-01-01,1972-01-01,male,Wales,
Wales national rugby league team,,Wales,Billy,Watkins,1910-01-01,1972-01-01,male,Wales,
Cross Keys RFC,,Wales,Billy,Watkins,1910-01-01,1972-01-01,male,Wales,
Great Britain national rugby league team,,United Kingdom,Billy,Watkins,1910-01-01,1972-01-01,male,Wales,
Salford Red Devils,,United Kingdom,Billy,Watkins,1910-01-01,1972-01-01,male,Wales,
Wales national rugby league team,,United Kingdom,Billy,Watkins,1910-01-01,1972-01-01,male,Wales,
Cross Keys RFC,,United Kingdom,Billy,Watkins,1910-01-01,1972-01-01,male,Wales,
Great Britain national rugby league team,,United Kingdom of Great Britain and Ireland,Billy,Watkins,1910-01-01,1972-01-01,male,Wales,
Salford Red Devils,,United Kingdom of Great Britain and Ireland,Billy,Watkins,1910-01-01,1972-01-01,male,Wales,
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,Billy,Watkins,1910-01-01,1972-01-01,male,Wales,
Cross Keys RFC,,United Kingdom of Great Britain and Ireland,Billy,Watkins,1910-01-01,1972-01-01,male,Wales,
Glamorgan Police RFC,,Wales,Bob,Jones,1875-08-30,1944-09-21,male,Pontypridd,Trelewis
Cardiff RFC,,Wales,Bob,Jones,1875-08-30,1944-09-21,male,Pontypridd,Trelewis
Wales national rugby union team,,Wales,Bob,Jones,1875-08-30,1944-09-21,male,Pontypridd,Trelewis
Wales national rugby league team,prop,Wales,Brian,Butler,1948-02-16,,male,Llanelli,
Warrington Wolves,prop,Wales,Brian,Butler,1948-02-16,,male,Llanelli,
Bradford Bulls,prop,Wales,Brian,Butler,1948-02-16,,male,Llanelli,
Llanelli RFC,prop,Wales,Brian,Butler,1948-02-16,,male,Llanelli,
Widnes Vikings,winger,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Wakefield Trinity,winger,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Wales national rugby league team,winger,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Halifax RLFC,winger,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Castleford Tigers,winger,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Wigan Warriors,winger,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Pontypridd RFC,winger,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Widnes Vikings,centre,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Wakefield Trinity,centre,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Wales national rugby league team,centre,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Halifax RLFC,centre,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Castleford Tigers,centre,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Wigan Warriors,centre,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Pontypridd RFC,centre,Wales,Brian,,1952-12-05,,male,Mountain Ash,
Widnes Vikings,winger,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Wakefield Trinity,winger,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Wales national rugby league team,winger,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Halifax RLFC,winger,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Castleford Tigers,winger,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Wigan Warriors,winger,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Pontypridd RFC,winger,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Widnes Vikings,centre,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Wakefield Trinity,centre,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Wales national rugby league team,centre,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Halifax RLFC,centre,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Castleford Tigers,centre,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Wigan Warriors,centre,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Pontypridd RFC,centre,United Kingdom,Brian,,1952-12-05,,male,Mountain Ash,
Glamorgan Police RFC,flanker,Wales,Brian,Sparks,1931-06-23,2013-06-30,male,Llanharan,Bridgend
Halifax RLFC,flanker,Wales,Brian,Sparks,1931-06-23,2013-06-30,male,Llanharan,Bridgend
Neath RFC,flanker,Wales,Brian,Sparks,1931-06-23,2013-06-30,male,Llanharan,Bridgend
Pontypool RFC,flanker,Wales,Brian,Sparks,1931-06-23,2013-06-30,male,Llanharan,Bridgend
Wales national rugby union team,flanker,Wales,Brian,Sparks,1931-06-23,2013-06-30,male,Llanharan,Bridgend
Wales national rugby league team,scrum-half,Wales,Clifford,Williams,1939-05-27,2014-02-02,male,Abercarn,Leeds
Hunslet Hawks,scrum-half,Wales,Clifford,Williams,1939-05-27,2014-02-02,male,Abercarn,Leeds
Barrow Raiders,fullback,Wales,Clive,Best,1931-08-04,2013-04-17,male,Tredegar,Crickhowell
Bradford Bulls,fullback,Wales,Clive,Best,1931-08-04,2013-04-17,male,Tredegar,Crickhowell
Salford Red Devils,fullback,Wales,Clive,Griffiths,1954-04-02,,male,Swansea,
Wales national rugby league team,fullback,Wales,Clive,Griffiths,1954-04-02,,male,Swansea,
St Helens RLFC,fullback,Wales,Clive,Griffiths,1954-04-02,,male,Swansea,
Wales national rugby union team,fullback,Wales,Clive,Griffiths,1954-04-02,,male,Swansea,
Barbarians,fullback,Wales,Clive,Griffiths,1954-04-02,,male,Swansea,
Salford Red Devils,fullback,United Kingdom,Clive,Griffiths,1954-04-02,,male,Swansea,
Wales national rugby league team,fullback,United Kingdom,Clive,Griffiths,1954-04-02,,male,Swansea,
St Helens RLFC,fullback,United Kingdom,Clive,Griffiths,1954-04-02,,male,Swansea,
Wales national rugby union team,fullback,United Kingdom,Clive,Griffiths,1954-04-02,,male,Swansea,
Barbarians,fullback,United Kingdom,Clive,Griffiths,1954-04-02,,male,Swansea,
Wales national rugby union team,scrum-half,Wales,Clive,,1947-09-09,2012-01-06,male,Pyle,
Barbarians,scrum-half,Wales,Clive,,1947-09-09,2012-01-06,male,Pyle,
Aberavon RFC,scrum-half,Wales,Clive,,1947-09-09,2012-01-06,male,Pyle,
Wales national rugby union team,scrum-half,United Kingdom,Clive,,1947-09-09,2012-01-06,male,Pyle,
Barbarians,scrum-half,United Kingdom,Clive,,1947-09-09,2012-01-06,male,Pyle,
Aberavon RFC,scrum-half,United Kingdom,Clive,,1947-09-09,2012-01-06,male,Pyle,
Great Britain national rugby league team,,Wales,Colin,Dixon,1943-12-03,1993-06-21,male,Butetown,Halifax
Salford Red Devils,,Wales,Colin,Dixon,1943-12-03,1993-06-21,male,Butetown,Halifax
Wales national rugby league team,,Wales,Colin,Dixon,1943-12-03,1993-06-21,male,Butetown,Halifax
Hull Kingston Rovers,,Wales,Colin,Dixon,1943-12-03,1993-06-21,male,Butetown,Halifax
Halifax RLFC,,Wales,Colin,Dixon,1943-12-03,1993-06-21,male,Butetown,Halifax
Great Britain national rugby league team,,United Kingdom,Colin,Dixon,1943-12-03,1993-06-21,male,Butetown,Halifax
Salford Red Devils,,United Kingdom,Colin,Dixon,1943-12-03,1993-06-21,male,Butetown,Halifax
Wales national rugby league team,,United Kingdom,Colin,Dixon,1943-12-03,1993-06-21,male,Butetown,Halifax
Hull Kingston Rovers,,United Kingdom,Colin,Dixon,1943-12-03,1993-06-21,male,Butetown,Halifax
Halifax RLFC,,United Kingdom,Colin,Dixon,1943-12-03,1993-06-21,male,Butetown,Halifax
Wales national rugby league team,scrum-half,Wales,Colin,Evans,1936-11-20,1992-11-23,male,Blaenavon,Leeds
Keighley Cougars,scrum-half,Wales,Colin,Evans,1936-11-20,1992-11-23,male,Blaenavon,Leeds
Leeds Rhinos,scrum-half,Wales,Colin,Evans,1936-11-20,1992-11-23,male,Blaenavon,Leeds
Pontypool RFC,scrum-half,Wales,Colin,Evans,1936-11-20,1992-11-23,male,Blaenavon,Leeds
Wales national rugby union team,scrum-half,Wales,Colin,Evans,1936-11-20,1992-11-23,male,Blaenavon,Leeds
Wales national rugby league team,scrum-half,United Kingdom,Colin,Evans,1936-11-20,1992-11-23,male,Blaenavon,Leeds
Keighley Cougars,scrum-half,United Kingdom,Colin,Evans,1936-11-20,1992-11-23,male,Blaenavon,Leeds
Leeds Rhinos,scrum-half,United Kingdom,Colin,Evans,1936-11-20,1992-11-23,male,Blaenavon,Leeds
Pontypool RFC,scrum-half,United Kingdom,Colin,Evans,1936-11-20,1992-11-23,male,Blaenavon,Leeds
Wales national rugby union team,scrum-half,United Kingdom,Colin,Evans,1936-11-20,1992-11-23,male,Blaenavon,Leeds
Oldham Roughyeds,number 8,Wales,Colin,,1942-01-01,,male,Bridgend,
Wales national rugby league team,number 8,Wales,Colin,,1942-01-01,,male,Bridgend,
Wigan Warriors,number 8,Wales,Colin,,1942-01-01,,male,Bridgend,
Wales national rugby league team,hooker,Wales,Con,Murphy,1908-09-03,1964-07-13,male,Aberfan,Leeds
Leeds Rhinos,hooker,Wales,Con,Murphy,1908-09-03,1964-07-13,male,Aberfan,Leeds
Cross Keys RFC,hooker,Wales,Con,Murphy,1908-09-03,1964-07-13,male,Aberfan,Leeds
Wales national rugby union team,hooker,Wales,Con,Murphy,1908-09-03,1964-07-13,male,Aberfan,Leeds
Wales national rugby league team,hooker,United Kingdom,Con,Murphy,1908-09-03,1964-07-13,male,Aberfan,Leeds
Leeds Rhinos,hooker,United Kingdom,Con,Murphy,1908-09-03,1964-07-13,male,Aberfan,Leeds
Cross Keys RFC,hooker,United Kingdom,Con,Murphy,1908-09-03,1964-07-13,male,Aberfan,Leeds
Wales national rugby union team,hooker,United Kingdom,Con,Murphy,1908-09-03,1964-07-13,male,Aberfan,Leeds
Wales national rugby league team,hooker,United Kingdom of Great Britain and Ireland,Con,Murphy,1908-09-03,1964-07-13,male,Aberfan,Leeds
Leeds Rhinos,hooker,United Kingdom of Great Britain and Ireland,Con,Murphy,1908-09-03,1964-07-13,male,Aberfan,Leeds
Cross Keys RFC,hooker,United Kingdom of Great Britain and Ireland,Con,Murphy,1908-09-03,1964-07-13,male,Aberfan,Leeds
Wales national rugby union team,hooker,United Kingdom of Great Britain and Ireland,Con,Murphy,1908-09-03,1964-07-13,male,Aberfan,Leeds
Pontypridd RFC,,Wales,Craig,Hill,1982-05-04,,male,Cardiff,
Dragons,,Wales,Craig,Hill,1982-05-04,,male,Cardiff,
Pontypridd RFC,,United Kingdom,Craig,Hill,1982-05-04,,male,Cardiff,
Dragons,,United Kingdom,Craig,Hill,1982-05-04,,male,Cardiff,
Wales national rugby union team (sevens),,Wales,Craig,Price,1989-06-22,,male,Neath,
Scarlets,,Wales,Craig,Price,1989-06-22,,male,Neath,
Cardiff Blues,,Wales,Dafydd,Hewitt,1985-08-21,,male,Cardiff,
Wales national rugby union team,hooker,Wales,,Davies,1925-05-02,2003-09-25,male,Penygraig,Taunton
Barbarians,hooker,Wales,,Davies,1925-05-02,2003-09-25,male,Penygraig,Taunton
British & Irish Lions,hooker,Wales,,Davies,1925-05-02,2003-09-25,male,Penygraig,Taunton
Wales national rugby union team,hooker,United Kingdom,,Davies,1925-05-02,2003-09-25,male,Penygraig,Taunton
Barbarians,hooker,United Kingdom,,Davies,1925-05-02,2003-09-25,male,Penygraig,Taunton
British & Irish Lions,hooker,United Kingdom,,Davies,1925-05-02,2003-09-25,male,Penygraig,Taunton
Wales national rugby union team,hooker,United Kingdom of Great Britain and Ireland,,Davies,1925-05-02,2003-09-25,male,Penygraig,Taunton
Barbarians,hooker,United Kingdom of Great Britain and Ireland,,Davies,1925-05-02,2003-09-25,male,Penygraig,Taunton
British & Irish Lions,hooker,United Kingdom of Great Britain and Ireland,,Davies,1925-05-02,2003-09-25,male,Penygraig,Taunton
Neath RFC,flanker,Wales,,,1890-06-14,1973-11-16,male,Hendy,
Llanelli RFC,flanker,Wales,,,1890-06-14,1973-11-16,male,Hendy,
Wales national rugby union team,flanker,Wales,,,1890-06-14,1973-11-16,male,Hendy,
Neath RFC,flanker,United Kingdom,,,1890-06-14,1973-11-16,male,Hendy,
Llanelli RFC,flanker,United Kingdom,,,1890-06-14,1973-11-16,male,Hendy,
Wales national rugby union team,flanker,United Kingdom,,,1890-06-14,1973-11-16,male,Hendy,
Neath RFC,flanker,United Kingdom of Great Britain and Ireland,,,1890-06-14,1973-11-16,male,Hendy,
Llanelli RFC,flanker,United Kingdom of Great Britain and Ireland,,,1890-06-14,1973-11-16,male,Hendy,
Wales national rugby union team,flanker,United Kingdom of Great Britain and Ireland,,,1890-06-14,1973-11-16,male,Hendy,
Cardiff RFC,,Wales,,Lewis,1866-12-04,1943-09-08,male,Radyr,Buffalo
Wales national rugby union team,,Wales,,Lewis,1866-12-04,1943-09-08,male,Radyr,Buffalo
Cardiff RFC,,United Kingdom,,Lewis,1866-12-04,1943-09-08,male,Radyr,Buffalo
Wales national rugby union team,,United Kingdom,,Lewis,1866-12-04,1943-09-08,male,Radyr,Buffalo
Cardiff RFC,,United Kingdom of Great Britain and Ireland,,Lewis,1866-12-04,1943-09-08,male,Radyr,Buffalo
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,,Lewis,1866-12-04,1943-09-08,male,Radyr,Buffalo
Glynneath RFC,prop,Wales,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Great Britain national rugby league team,prop,Wales,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
York City Knights,prop,Wales,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Wales national rugby league team,prop,Wales,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Neath RFC,prop,Wales,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Leeds Rhinos,prop,Wales,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Swansea RFC,prop,Wales,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Wales national rugby union team,prop,Wales,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Glynneath RFC,prop,United Kingdom,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Great Britain national rugby league team,prop,United Kingdom,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
York City Knights,prop,United Kingdom,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Wales national rugby league team,prop,United Kingdom,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Neath RFC,prop,United Kingdom,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Leeds Rhinos,prop,United Kingdom,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Wales national under-20 rugby union team,,Wales,,Griffiths,1982-03-08,,male,Glanaman,
Doncaster R.F.C.,,Wales,,Griffiths,1982-03-08,,male,Glanaman,
Llanelli RFC,,Wales,,Griffiths,1982-03-08,,male,Glanaman,
Broughton Rangers,fullback,Wales,,,1911-02-09,1983-06-06,male,Hendy,Llangyfelach
Llanelli RFC,fullback,Wales,,,1911-02-09,1983-06-06,male,Hendy,Llangyfelach
Wales national rugby union team,fullback,Wales,,,1911-02-09,1983-06-06,male,Hendy,Llangyfelach
Broughton Rangers,fullback,United Kingdom,,,1911-02-09,1983-06-06,male,Hendy,Llangyfelach
Llanelli RFC,fullback,United Kingdom,,,1911-02-09,1983-06-06,male,Hendy,Llangyfelach
Wales national rugby union team,fullback,United Kingdom,,,1911-02-09,1983-06-06,male,Hendy,Llangyfelach
Broughton Rangers,fullback,United Kingdom of Great Britain and Ireland,,,1911-02-09,1983-06-06,male,Hendy,Llangyfelach
Llanelli RFC,fullback,United Kingdom of Great Britain and Ireland,,,1911-02-09,1983-06-06,male,Hendy,Llangyfelach
Wales national rugby union team,fullback,United Kingdom of Great Britain and Ireland,,,1911-02-09,1983-06-06,male,Hendy,Llangyfelach
